"","sentence","answer","direction","difficulty","itemId","corpusId","form","itemNum","itemId_old"
"221","Los tigres son animales marinos.",FALSE,"left",NA,"form4_aiEs_11","aiEs","form4",11,"spanish_ai_205"
"222","Los autobuses transportan personas.",TRUE,"right",NA,"form4_aiEs_12","aiEs","form4",12,"spanish_ai_117"
"223","Los pandas comen bambú.",TRUE,"right",NA,"form4_aiEs_13","aiEs","form4",13,"spanish_ai_144"
"224","Enero es el primer mes del año.",TRUE,"right",NA,"form4_aiEs_14","aiEs","form4",14,"spanish_ai_130"
"225","Las cometas vuelan alto.",TRUE,"right",NA,"form4_aiEs_15","aiEs","form4",15,"spanish_ai_43"
"226","Los unicornios son animales reales.",FALSE,"left",NA,"form4_aiEs_16","aiEs","form4",16,"spanish_ai_78"
"227","Los cangrejos escriben novelas.",FALSE,"left",NA,"form4_aiEs_17","aiEs","form4",17,"spanish_ai_155"
"228","Los dinosaurios son mascotas comunes.",FALSE,"left",NA,"form4_aiEs_18","aiEs","form4",18,"spanish_ai_158"
"229","Las jirafas tienen cuellos cortos.",FALSE,"left",NA,"form4_aiEs_19","aiEs","form4",19,"spanish_ai_99"
"230","Los peces viven fuera del agua.",FALSE,"left",NA,"form4_labEs_20","labEs","form4",20,"spanish_lab_3"
"231","Las ballenas nadan en el océano.",TRUE,"right",NA,"form4_aiEs_21","aiEs","form4",21,"spanish_ai_6"
"232","Las lombrices tienen plumas.",FALSE,"left",NA,"form4_aiHumanEs_22","aiHumanEs","form4",22,"spanish_ai-human_28"
"233","Los panaderos hornean el pan.",TRUE,"right",NA,"form4_aiHumanEs_23","aiHumanEs","form4",23,"spanish_ai-human_9"
"234","Los coches son submarinos.",FALSE,"left",NA,"form4_aiEs_24","aiEs","form4",24,"spanish_ai_91"
"235","La letra ""A"" es la primera del alfabeto.",TRUE,"right",NA,"form4_aiEs_25","aiEs","form4",25,"spanish_ai_15"
"236","Las personas pueden caminar en las nubes.",FALSE,"left",NA,"form4_labEs_26","labEs","form4",26,"spanish_lab_34"
"237","Un submarino viaja por las nubes.",FALSE,"left",NA,"form4_aiEs_27","aiEs","form4",27,"spanish_ai_82"
"238","Los ratones tienen colas largas.",TRUE,"right",NA,"form4_aiEs_28","aiEs","form4",28,"spanish_ai_27"
"239","Abril es el primer mes del año.",FALSE,"left",NA,"form4_aiEs_29","aiEs","form4",29,"spanish_ai_191"
"240","Los libros crecen en los árboles.",FALSE,"left",NA,"form4_aiEs_30","aiEs","form4",30,"spanish_ai_171"
"241","Las sirenas son gimnastas.",FALSE,"left",NA,"form4_aiEs_31","aiEs","form4",31,"spanish_ai_200"
"242","Leer libros nos ayuda a aprender cosas nuevas.",TRUE,"right",NA,"form4_labEs_32","labEs","form4",32,"spanish_lab_101"
"243","Los caracoles conducen coches.",FALSE,"left",NA,"form4_aiEs_33","aiEs","form4",33,"spanish_ai_169"
"244","Los gatos lamen sus patas para limpiarse.",TRUE,"right",NA,"form4_labEs_34","labEs","form4",34,"spanish_lab_58"
"245","Algunos estudiantes van caminando al colegio.",TRUE,"right",NA,"form4_labEs_35","labEs","form4",35,"spanish_lab_64"
"246","Los osos polares viven en el hielo.",TRUE,"right",NA,"form4_aiHumanEs_36","aiHumanEs","form4",36,"spanish_ai-human_34"
"247","Los conejos saltan en la hierba.",TRUE,"right",NA,"form4_aiEs_37","aiEs","form4",37,"spanish_ai_128"
"248","Un lápiz sirve para tomarse una bebida.",FALSE,"left",NA,"form4_labEs_38","labEs","form4",38,"spanish_lab_86"
"249","Los pescadores trabajan en la panadería.",FALSE,"left",NA,"form4_labEs_39","labEs","form4",39,"spanish_lab_6"
"250","Octubre tiene 31 días.",TRUE,"right",NA,"form4_aiEs_40","aiEs","form4",40,"spanish_ai_125"
"251","Los caramelos crecen en árboles.",FALSE,"left",NA,"form4_aiEs_41","aiEs","form4",41,"spanish_ai_71"
"252","Los perros ladran como señal de alerta.",TRUE,"right",NA,"form4_aiEs_42","aiEs","form4",42,"spanish_ai_118"
"253","Los lápices son máquinas del tiempo.",FALSE,"left",NA,"form4_aiEs_43","aiEs","form4",43,"spanish_ai_96"
"254","La lana de las ovejas sirve para hacer ropa.",TRUE,"right",NA,"form4_labEs_44","labEs","form4",44,"spanish_lab_84"
"255","Los barcos andan por el ferrocarril.",FALSE,"left",NA,"form4_labEs_45","labEs","form4",45,"spanish_lab_76"
"256","La leche se puede tomar fría o caliente.",TRUE,"right",NA,"form4_labEs_46","labEs","form4",46,"spanish_lab_72"
"257","La letra ""Q"" es la primera del alfabeto.",FALSE,"left",NA,"form4_aiEs_47","aiEs","form4",47,"spanish_ai_168"
"258","Los chefs cocinan con gorros de baño.",FALSE,"left",NA,"form4_aiEs_48","aiEs","form4",48,"spanish_ai_70"
"259","Un panadero puede volar en su bicicleta.",FALSE,"left",NA,"form4_aiEs_49","aiEs","form4",49,"spanish_ai_87"
"260","En invierno hace frío y nieva.",TRUE,"right",NA,"form4_aiEs_50","aiEs","form4",50,"spanish_ai_104"
"261","Todos los artistas pintan con plátanos.",FALSE,"left",NA,"form4_labEs_51","labEs","form4",51,"spanish_lab_88"
"262","Hay personas que se ponen muy felices cuando bailan.",TRUE,"right",NA,"form4_labEs_52","labEs","form4",52,"spanish_lab_60"
"263","Algunos gatos maúllan para llamar la atención.",TRUE,"right",NA,"form4_aiHumanEs_53","aiHumanEs","form4",53,"spanish_ai-human_35"
"264","Las zanahorias son vegetales anaranjados.",TRUE,"right",NA,"form4_aiEs_54","aiEs","form4",54,"spanish_ai_54"
"265","Las personas van al aeropuerto para viajar en tren.",FALSE,"left",NA,"form4_labEs_55","labEs","form4",55,"spanish_lab_55"
"266","Cuando hay mucho viento los conejos pueden volar.",FALSE,"left",NA,"form4_labEs_56","labEs","form4",56,"spanish_lab_95"
"267","La mayoría de los búhos salen a volar en las noches.",TRUE,"right",NA,"form4_labEs_57","labEs","form4",57,"spanish_lab_48"
"268","Todos los lagos son completamente cuadrados.",FALSE,"left",NA,"form4_aiHumanEs_58","aiHumanEs","form4",58,"spanish_ai-human_13"
"269","Los bomberos usan mangueras para apagar incendios en edificios.",TRUE,"right",NA,"form4_aiEs_59","aiEs","form4",59,"spanish_ai_116"
"270","Las hojas son saltamontes disfrazados.",FALSE,"left",NA,"form4_aiHumanEs_60","aiHumanEs","form4",60,"spanish_ai-human_44"
"271","Las galletas son naves espaciales que exploran la galaxia.",FALSE,"left",NA,"form4_aiEs_61","aiEs","form4",61,"spanish_ai_83"
"272","Algunos animales duermen durante el día y están despiertos en la noche.",TRUE,"right",NA,"form4_labEs_62","labEs","form4",62,"spanish_lab_81"
"273","Las frutas, como los mangos, ofrecen vitaminas y sabores deliciosos.",TRUE,"right",NA,"form4_aiHumanEs_63","aiHumanEs","form4",63,"spanish_ai-human_40"
"274","Las ranas navegan por los océanos en botes de papel.",FALSE,"left",NA,"form4_aiEs_64","aiEs","form4",64,"spanish_ai_74"
"275","Se necesita de un equipo especial para escalar algunas montañas.",TRUE,"right",NA,"form4_labEs_65","labEs","form4",65,"spanish_lab_97"
"276","Los chefs preparan deliciosos platos utilizando ingredientes frescos y sabrosos.",TRUE,"right",NA,"form4_aiEs_66","aiEs","form4",66,"spanish_ai_136"
"277","Los lápices tienen superpoderes para escribir solos en papel.",FALSE,"left",NA,"form4_aiEs_67","aiEs","form4",67,"spanish_ai_202"
"278","Las chanclas son unos buenos zapatos para usar en lugares fríos.",FALSE,"left",NA,"form4_labEs_68","labEs","form4",68,"spanish_lab_59"
"279","El hielo se derrite con el calor.",TRUE,"right",NA,"form4_labEsNew_69","labEsNew","form4",69,NA
"280","Algunas personas tienen perros como mascota.",TRUE,"right",NA,"form4_labEsNew_70","labEsNew","form4",70,NA
