itemId,target,distractor1,distractor2,distractor3,audioFile,audioUrl,a,b,c,d,corpusId,source,form,itemGroup,pattern,strategy
silent-e-11,jite,jit,jate,jat,jite,https://storage.googleapis.com/roar-ak/en/shared/jite.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,B,silent-e,i_e,A
silent-e-12,yame,yore,yome,yare,yame,https://storage.googleapis.com/roar-ak/en/shared/yame.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,B,silent-e,a_e,B
silent-e-13,vule,vul,vele,vel,vule_2,https://storage.googleapis.com/roar-ak/en/shared/vule_2.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,C,silent-e,u_e,A
silent-e-14,vode,vube,vude,vobe,vode,https://storage.googleapis.com/roar-ak/en/shared/vode.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,C,silent-e,o_e,B
silent-e-15,sile,sil,sele,sel,sile,https://storage.googleapis.com/roar-ak/en/shared/sile.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,C,silent-e,i_e,A
silent-e-16,rine,rive,rene,reve,rine,https://storage.googleapis.com/roar-ak/en/shared/rine.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,C,silent-e,i_e,B
silent-e-17,fute,fut,fote,fot,fute,https://storage.googleapis.com/roar-ak/en/shared/fute.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,C,silent-e,u_e,A
silent-e-18,nole,nute,nule,nale,nole,https://storage.googleapis.com/roar-ak/en/shared/nole.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,C,silent-e,o_e,B
silent-e-19,hute,hoke,hote,huke,hute,https://storage.googleapis.com/roar-ak/en/shared/hute.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,common,silent-e,u_e,B
silent-e-20,zule,zire,zile,zure,zule,https://storage.googleapis.com/roar-ak/en/shared/zule.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,common,silent-e,u_e,B
tri-blend-01,schem,schan,shren,shram,schem,https://storage.googleapis.com/roar-ak/en/shared/schem.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,A,tri-blend,sch,B
tri-blend-02,shrap,shrib,schab,schip,shrap,https://storage.googleapis.com/roar-ak/en/shared/shrap.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,A,tri-blend,shr,B
tri-blend-03,shrim,sheem,scham,scrim,shrim,https://storage.googleapis.com/roar-ak/en/shared/shrim.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,A,tri-blend,shr,A
tri-blend-04,scrop,splop,shrop,schop,scrop,https://storage.googleapis.com/roar-ak/en/shared/scrop.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,A,tri-blend,scr,A
tri-blend-05,splut,schut,scrut,shrut,splut,https://storage.googleapis.com/roar-ak/en/shared/splut.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,A,tri-blend,spl,A
tri-blend-06,sprun,spram,splum,scran,sprun,https://storage.googleapis.com/roar-ak/en/shared/sprun.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,A,tri-blend,spr,B
tri-blend-07,stren,strim,sprem,sprin,stren,https://storage.googleapis.com/roar-ak/en/shared/stren.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,B,tri-blend,str,B
tri-blend-08,strom,strin,shron,shrim,strom,https://storage.googleapis.com/roar-ak/en/shared/strom.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,B,tri-blend,str,B
tri-blend-09,scron,spron,stron,shron,scron,https://storage.googleapis.com/roar-ak/en/shared/scron.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,B,tri-blend,scr,A
tri-blend-10,schuk,shruk,struk,spruk,schuk_2,https://storage.googleapis.com/roar-ak/en/shared/schuk_2.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,B,tri-blend,sch,A
tri-blend-11,splin,strin,schin,sprin,splin,https://storage.googleapis.com/roar-ak/en/shared/splin.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,B,tri-blend,spl,A
tri-blend-12,scrid,schid,splid,strid,scrid,https://storage.googleapis.com/roar-ak/en/shared/scrid.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,B,tri-blend,scr,A
tri-blend-13,splem,shrem,strem,sprem,splem_2,https://storage.googleapis.com/roar-ak/en/shared/splem_2.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,C,tri-blend,spl,A
tri-blend-14,shrus,shraz,spluz,splas,shrus,https://storage.googleapis.com/roar-ak/en/shared/shrus.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,C,tri-blend,shr,B
tri-blend-15,sprek,sprit,splet,splik,sprek,https://storage.googleapis.com/roar-ak/en/shared/sprek.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,C,tri-blend,spr,B
tri-blend-16,spran,sprer,splan,spler,spran,https://storage.googleapis.com/roar-ak/en/shared/spran.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,C,tri-blend,spr,B
tri-blend-17,thrut,thak,trut,thrak,thrut,https://storage.googleapis.com/roar-ak/en/shared/thrut.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,C,tri-blend,thr,B
tri-blend-18,threp,thib,trep,thrib,threp,https://storage.googleapis.com/roar-ak/en/shared/threp.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,C,tri-blend,thr,B
tri-blend-19,thrax,trux,trax,thrux,thrax,https://storage.googleapis.com/roar-ak/en/shared/thrax.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,common,tri-blend,thr,A
tri-blend-20,schep,shrep,sprep,screp,schep,https://storage.googleapis.com/roar-ak/en/shared/schep.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,common,tri-blend,sch,A
