itemId,target,distractor1,distractor2,distractor3,audioFile,audioUrl,a,b,c,d,corpusId,source,form,itemGroup,pattern,
tri-blend-12,thrax,plox,tawr,sewr,thrax,https://storage.googleapis.com/roar-ak/en/shared/thrax.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,B,tri-blend,thr,
tri-blend-13,scrop,skop,soad,quoot,scrop,https://storage.googleapis.com/roar-ak/en/shared/scrop.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,C,tri-blend,scr,
tri-blend-14,shrus,pris,soen,jout,shrus,https://storage.googleapis.com/roar-ak/en/shared/shrus.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,C,tri-blend,shr,
tri-blend-15,splin,fren,soyt,foid,splin,https://storage.googleapis.com/roar-ak/en/shared/splin.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,C,tri-blend,spl,
tri-blend-16,spran,blan,soen,foeg,spran,https://storage.googleapis.com/roar-ak/en/shared/spran.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,C,tri-blend,spr,
tri-blend-17,stren,snen,suil,foat,stren,https://storage.googleapis.com/roar-ak/en/shared/stren.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,C,tri-blend,str,
tri-blend-18,thrut,trut,tuyr,pieg,thrut,https://storage.googleapis.com/roar-ak/en/shared/thrut.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,C,tri-blend,thr,
tri-blend-19,schuk,brak,saun,lawr,schuk,https://storage.googleapis.com/roar-ak/en/shared/schuk.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,common,tri-blend,sch,
tri-blend-20,schem,fram,soig,koum,schem,https://storage.googleapis.com/roar-ak/en/shared/schem.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,common,tri-blend,sch,
vt-1,vaich,veek,joich,moaz,vaich,https://storage.googleapis.com/roar-ak/en/shared/vaich.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,A,vt,ai,\
vt-2,laib,loip,yoob,queed,laib,https://storage.googleapis.com/roar-ak/en/shared/laib.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,A,vt,ai,
vt-3,heam,hooch,faim,deeg,heam,https://storage.googleapis.com/roar-ak/en/shared/heam.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,A,vt,ea,
vt-4,nieg,nooch,loag,haix,nieg,https://storage.googleapis.com/roar-ak/en/shared/nieg.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,A,vt,ie,
vt-5,soik,seet,beik,geep,soick,https://storage.googleapis.com/roar-ak/en/shared/soick.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,A,vt,oi,
vt-6,zouch,zoak,mauch,lief,zouch,https://storage.googleapis.com/roar-ak/en/shared/zouch.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,A,vt,ou,
vt-7,slaip,soos,cloap,feeb,slaip,https://storage.googleapis.com/roar-ak/en/shared/slaip.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,B,vt,ai,
vt-8,paib,piech,moab,koab,paib,https://storage.googleapis.com/roar-ak/en/shared/paib.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,B,vt,ai,
vt-9,deas,doen,noas,veez,deas,https://storage.googleapis.com/roar-ak/en/shared/deas.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,B,vt,ea,
vt-10,zeik,zoab,moak,nauss,zeik,https://storage.googleapis.com/roar-ak/en/shared/zeik.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,B,vt,ei,
vt-11,koik,kuil,zaik,wiep,koik,https://storage.googleapis.com/roar-ak/en/shared/koik.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,B,vt,oi,
vt-12,houd,heich,noid,taus,houd,https://storage.googleapis.com/roar-ak/en/shared/houd.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,B,vt,ou,
vt-13,kaib,kaul,meeb,hief,kaib,https://storage.googleapis.com/roar-ak/en/shared/kaib.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,C,vt,ai,
vt-14,waig,weab,roag,loet,waig,https://storage.googleapis.com/roar-ak/en/shared/waig.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,C,vt,ai,
vt-15,sauch,soid,feech,zoop,sauch,https://storage.googleapis.com/roar-ak/en/shared/sauch.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,C,vt,au,
vt-16,heek,houn,taik,zoar,heek,https://storage.googleapis.com/roar-ak/en/shared/heek.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,C,vt,ee,
vt-17,veim,voot,loim,kuir,veim,https://storage.googleapis.com/roar-ak/en/shared/veim.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,C,vt,ei,
vt-18,toik,toar,daik,moin,toick,https://storage.googleapis.com/roar-ak/en/shared/toick.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,C,vt,oi,
vt-19,woab,woos,teeb,pruid,woab,https://storage.googleapis.com/roar-ak/en/shared/woab.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,common,vt,oa,
vt-20,bruid,boeg,cread,weer,bruid,https://storage.googleapis.com/roar-ak/en/shared/bruid.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,common,vt,ui,
