"","sentence","grade","answer","direction","itemId"
"363","An alert watchdog will sleep through a burglary attempt.",7,FALSE,"left","TOSREC_228"
"364","If you spend more than your budget allows, you may run short of money.",7,TRUE,"right","TOSREC_304"
"365","A friend you admire is someone you have little respect for.",7,FALSE,"left","TOSREC_225"
"366","A teacher might put a bonus question on a test to give students extra credit.",7,TRUE,"right","TOSREC_305"
"367","A boycott might be organized as a way to protect a decision made by a store.",7,FALSE,"left","TOSREC_306"
"368","A hunter wears camouflage to be seen more easily.",7,FALSE,"left","TOSREC_307"
"369","Men wear cosmetics to make them feel more intelligent.",7,FALSE,"left","TOSREC_264"
"370","An automatic decision is one that requires a lot of thought.",7,FALSE,"left","TOSREC_308"
"371","Doing the same thing over and over again can be monotonous.",7,TRUE,"right","TOSREC_309"
"372","If you commit a serious crime you might be sent to a penitentiary.",7,TRUE,"right","TOSREC_310"
"373","You may be asked to calculate answers to difficult problems in a college math class.",7,TRUE,"right","TOSREC_311"
"374","Wearing a blindfold is better than wearing glasses if you cannot see the board.",7,FALSE,"left","TOSREC_312"
"375","It would be dishonest to return a lost wallet with all of the money inside it to its owner.",7,FALSE,"left","TOSREC_313"
"376","One way to find a solution to a disagreement is to look for a compromise.",7,TRUE,"right","TOSREC_314"
"377","A disinfectant is useful for killing some germs that can cause illness.",7,TRUE,"right","TOSREC_315"
"378","The main problem with having a famine is overly abundant food to eat.",7,FALSE,"left","TOSREC_316"
"379","A math teacher who asks you to estimate an answer is asking for an answer that is exact.",7,FALSE,"left","TOSREC_317"
"380","A speedometer is used to tell what the temperature is outside.",7,FALSE,"left","TOSREC_318"
"381","Eating spoiled food can cause an upset stomach or other problems with digestion.",7,TRUE,"right","TOSREC_319"
"382","A punctual student always is late for his classes or any appointments.",7,FALSE,"left","TOSREC_320"
"383","Most adolescents go to school and like movies and listening to music.",7,TRUE,"right","TOSREC_321"
"384","People have seven hundred thousand knuckles on their ankles and noses.",7,FALSE,"left","TOSREC_322"
"385","Someone with a large appetite will eat very little food.",7,FALSE,"left","TOSREC_198"
"386","If a tiger escaped from a zoo and was walking in a city, it would cause commotion.",7,TRUE,"right","TOSREC_323"
"387","Most people would be disappointed to learn that they were millionaires.",7,FALSE,"left","TOSREC_284"
"388","An automobile is useful for going out to eat or to the grocery store.",7,TRUE,"right","TOSREC_324"
"389","A microscopic germ is bigger than a building but smaller than a city.",7,FALSE,"left","TOSREC_282"
"390","A teacher might give you criticism about a paper you wrote to make you a better writer.",7,TRUE,"right","TOSREC_325"
"391","Toxic oil spills in oceans, streams, and lakes are beneficial for the environment.",7,FALSE,"left","TOSREC_326"
"392","The purpose of the population census is to count the number of rainy days every month.",7,FALSE,"left","TOSREC_327"
"393","Very large farms with many kinds of livestock and many fileds for planting can cover a lot of acreage.",7,TRUE,"right","TOSREC_328"
"394","Clam chowder is made from various spiders, peanuts, and several kinds of insects.",7,FALSE,"left","TOSREC_329"
"395","A computer works best if it is thrown from the top floor of a tall building during a major thunderstorm.",7,FALSE,"left","TOSREC_330"
"396","An adequate number of players on a team is required to be able to play an opponent.",7,TRUE,"right","TOSREC_331"
"397","Giving to needy individuals who have less than you is an admirable thing to do",7,TRUE,"right","TOSREC_332"
"398","A leaf falling from a tree will endanger most every resident in a city.",7,FALSE,"left","TOSREC_333"
"399","People who are adrift in a boat with a broken-down motor may be lucky and be rescued by a passing boater.",7,TRUE,"right","TOSREC_334"
"400","Studying hard and listening in class are advisable if you want to achieve better grades.",7,TRUE,"right","TOSREC_335"
"401","Ice cream is a very distasteful thing to be given to eat for almost all children regardless of their age.",7,FALSE,"left","TOSREC_336"
"402","A tornado can result in a catastrophe if it strikes where people will live and a safe place to go is not available.",7,TRUE,"right","TOSREC_337"
"403","Most bankers are given bonuses if they are able to embezzle money from the bank to buy a sailboat.",7,FALSE,"left","TOSREC_338"
"404","Compulsory rules are not optional but rather must always be followed.",7,TRUE,"right","TOSREC_339"
"405","Hamburgers and hot dogs sometimes are sold at concession stands at various sporting events.",7,TRUE,"right","TOSREC_340"
"406","Two people who dislike being together are inseparable.",7,FALSE,"left","TOSREC_341"
"407","Fingerprints can incriminate a suspect.",7,TRUE,"right","TOSREC_342"
"408","Spanish is the predominant language spoken in Mexico.",7,TRUE,"right","TOSREC_343"
"409","Not helping a family whose automobile has broken down is an example of compassion.",7,FALSE,"left","TOSREC_344"
"410","A dilapidated building is well maintained.",7,FALSE,"left","TOSREC_345"
"411","There is sand in the desert.",8,TRUE,"right","TOSREC_346"
"412","You can play with a toy in the bathtub.",8,TRUE,"right","TOSREC_295"
"413","People like to eat dirt for lunch as a snack.",8,FALSE,"left","TOSREC_347"
"414","A girl can have a lot of freckles on her face.",8,TRUE,"right","TOSREC_348"
"415","You can find starfish in space.",8,FALSE,"left","TOSREC_27"
"416","A tortoise is faster than a greyhound.",8,FALSE,"left","TOSREC_136"
"417","Most people wear jackets on their feet rather than shoes.",8,FALSE,"left","TOSREC_125"
"418","A beagle might bark to warn its owner if it sees a hawk.",8,TRUE,"right","TOSREC_349"
"419","A watermelon can be too big for a small boy to lift.",8,TRUE,"right","TOSREC_133"
"420","You should invite vultures to a wedding.",8,FALSE,"left","TOSREC_138"
"421","Some airplanes fly at a very high altitude.",8,TRUE,"right","TOSREC_184"
"422","An envelope can be used as a radio.",8,FALSE,"left","TOSREC_350"
"423","If you appreciate a gift very much you should tell the person who gave it to you.",8,TRUE,"right","TOSREC_351"
"424","Some of our ancestors were born and lived in prehistoric times.",8,TRUE,"right","TOSREC_303"
"425","A plumber should be called right away if your automobile breaks down.",8,FALSE,"left","TOSREC_352"
"426","A celebrity might be asked for her autograph.",8,TRUE,"right","TOSREC_263"
"427","Getting an ""A"" on an important test would devastate most students.",8,FALSE,"left","TOSREC_353"
"428","A bachelor is someone who has been married all of his adult life.",8,FALSE,"left","TOSREC_354"
"429","A parent might ask a daughter to buckle her seat belt to protect her in an accident.",8,TRUE,"right","TOSREC_355"
"430","An automatic decision is one that requires a lot of thought.",8,FALSE,"left","TOSREC_308"
"431","People who go fishing sometimes exaggerate the size of the fish they catch.",8,TRUE,"right","TOSREC_356"
"432","The main problem with having a famine is overly abundant food to eat.",8,FALSE,"left","TOSREC_316"
"433","A disinfectant is useful for killing some germs that can cause illness.",8,TRUE,"right","TOSREC_315"
"434","Most people wear ancient pyramids on their wrists for predicting weather.",8,FALSE,"left","TOSREC_281"
"435","One way to find a solution to a disagreement is to look for a compromise.",8,TRUE,"right","TOSREC_314"
"436","Hotels are one form of accommodation for people taking trips.",8,TRUE,"right","TOSREC_357"
"437","If too much rain accumulates, severe flooding can damage houses.",8,TRUE,"right","TOSREC_358"
"438","Clam chowder is made from various spiders, peanuts, and several kinds of insects.",8,FALSE,"left","TOSREC_329"
"439","A criminal standing trial will be very happy if the jury acquits him.",8,TRUE,"right","TOSREC_359"
"440","It can be difficult to move large appliances such as stoves or refrigerators.",8,TRUE,"right","TOSREC_360"
"441","A computer works best if it is thrown from the top floor of a tall building during a major thunderstorm.",8,FALSE,"left","TOSREC_330"
"442","A leaf falling from a tree will endanger most every resident in a city.",8,FALSE,"left","TOSREC_333"
"443","With high gasoline prices, a small automobile can be more economical to drive than a large truck.",8,TRUE,"right","TOSREC_361"
"444","A substantial dinner consists of one potato chip.",8,FALSE,"left","TOSREC_362"
"445","If you are taking a multiple-choice test, it can be helpful to eliminate answers that you know are wrong.",8,TRUE,"right","TOSREC_363"
"446","Very little stamina is required for running a distance of twenty miles.",8,FALSE,"left","TOSREC_364"
"447","Milk is pasteurized to change its color from purple to orange and to make it fit into a milk carton.",8,FALSE,"left","TOSREC_365"
"448","If you hear thunder, keeping away from tall trees can reduce the chance of being electrocuted.",8,TRUE,"right","TOSREC_366"
"449","The purpose of the population census is to count the number of rainy days every month.",8,FALSE,"left","TOSREC_327"
"450","If a painting by a famous artist turns out to be a forgery, its value is likely to be much less.",8,TRUE,"right","TOSREC_367"
"451","If a traffic light quits working, two cars could get into an accident at an intersection.",8,TRUE,"right","TOSREC_368"
"452","An old cat sleeping on a pillow in front of a sunny window is highly energetic.",8,FALSE,"left","TOSREC_369"
"453","It helps to be logical if you are trying to convince someone with an effective argument.",8,TRUE,"right","TOSREC_370"
"454","A firefighter pours gasoline on a fire to extinguish it.",8,FALSE,"left","TOSREC_371"
"455","Mythology refers to true stories of events that happened.",8,FALSE,"left","TOSREC_372"
"456","A spendthrift can usually be counted on to spend money for lavish entertainment.",8,TRUE,"right","TOSREC_373"
"457","The abolition of slavery resulted in changes for the South.",8,TRUE,"right","TOSREC_374"
"458","An adversary is someone who takes your side in any argument.",8,FALSE,"left","TOSREC_375"
"459","Some citizens who cannot vote because they are away are able to vote by absentee ballot.",8,TRUE,"right","TOSREC_376"
"460","If you want to be friends with someone, the best way is to antagonize the person continuously.",8,FALSE,"left","TOSREC_377"
"461","A football game that ends with a tie score of fourteen to fourteen is an example of a decisive victory.",8,FALSE,"left","TOSREC_293"
"462","Some criminals have an accomplice who accompanies them.",8,TRUE,"right","TOSREC_291"
"463","Libraries prefer that all people be delinquent in returning books.",8,FALSE,"left","TOSREC_292"
"464","Supporters denounce the candidate they are working for rather than the opponent.",8,FALSE,"left","TOSREC_378"
"465","Police officers try to apprehend criminals and to prevent crime.",8,TRUE,"right","TOSREC_379"
"466","Drinking a glass of water leads to immediate, extreme discomfort for most people.",8,FALSE,"left","TOSREC_380"
"467","Bleach is sometimes used in washing machines to remove difficult stains from very dirty clothes.",8,TRUE,"right","TOSREC_294"
"468","An arrogant person may not be liked by others because he conveys the impression that he is better than they are.",8,TRUE,"right","TOSREC_381"
"469","Most parents will disapprove if their children earn perfect scores on a difficult and important test.",8,FALSE,"left","TOSREC_290"
"470","Turning on a light switch almost always results in disastrous consequences.",8,FALSE,"left","TOSREC_382"
"471","Seeds germinate when conditions are suitable.",8,TRUE,"right","TOSREC_383"
"472","Being open to different opinions and ideas is the key characteristic of an intolerant individual.",8,FALSE,"left","TOSREC_384"
"473","Guerillas are tiny invertebrates that live under water.",8,FALSE,"left","TOSREC_385"
"474","Spanish is the predominant language spoken in Mexico.",8,TRUE,"right","TOSREC_343"
"475","A blood transfusion might be necessary in an operation.",8,TRUE,"right","TOSREC_386"
"476","An inaccessible mountain is easily reached.",8,FALSE,"left","TOSREC_387"
"477","A cumulative grade-point average never changes.",8,FALSE,"left","TOSREC_388"
"478","An inevitable event is unlikely to occur.",8,FALSE,"left","TOSREC_389"
"479","Your passport might be scrutinized if you seem suspicious when returning from visiting a foreign country.",8,TRUE,"right","TOSREC_390"
"480","After an operation, it may take months to recuperate completely.",8,TRUE,"right","TOSREC_391"
