"","sentence","answer","direction","difficulty","itemId","testsetId"
"351","Lions live in grocery stores.",FALSE,"left",NA,"AI-pset-26-1",26
"352","Doctors often give patients medicine and advice.",TRUE,"right",NA,"AI-pset-26-2",26
"353","Flowers can be different colors.",TRUE,"right",NA,"AI-pset-26-3",26
"354","Trees can move faster than cars.",FALSE,"left",NA,"AI-pset-26-4",26
"355","A clock can hang on the wall.",TRUE,"right",NA,"AI-pset-26-5",26
"356","Holidays usually bloom in the desert.",FALSE,"left",NA,"AI-pset-26-6",26
"357","Bottles wear mittens to keep their water warm.",FALSE,"left",NA,"AI-pset-26-7",26
"358","Lions can roar.",TRUE,"right",NA,"AI-pset-26-8",26
"359","Lions drive trains to work.",FALSE,"left",NA,"AI-pset-26-9",26
"360","Ice cream tastes good on a hot day.",TRUE,"right",NA,"AI-pset-26-10",26
"361","A cat is a pet that meows.",TRUE,"right",NA,"AI-pset-26-11",26
"362","Tea is brewed in toasters.",FALSE,"left",NA,"AI-pset-26-12",26
"363","Summer days can be really hot.",TRUE,"right",NA,"AI-pset-26-13",26
"364","Whales can fit in a fishbowl.",FALSE,"left",NA,"AI-pset-26-14",26
"365","Apples can be red, green, or yellow.",TRUE,"right",NA,"AI-pset-27-1",27
"366","A car has four tires.",TRUE,"right",NA,"AI-pset-27-2",27
"367","People watch TV in the living room.",TRUE,"right",NA,"AI-pset-27-3",27
"368","Elephants use their trunks to drink and grab things.",TRUE,"right",NA,"AI-pset-27-4",27
"369","Rivers are always salty.",FALSE,"left",NA,"AI-pset-27-5",27
"370","Hats enjoy brewing coffee.",FALSE,"left",NA,"AI-pset-27-6",27
"371","Many people like to watch movies.",TRUE,"right",NA,"AI-pset-27-7",27
"372","Mountains are bathed in the sink.",FALSE,"left",NA,"AI-pset-27-8",27
"373","Every car is a bird.",FALSE,"left",NA,"AI-pset-27-9",27
"374","Gorillas can live in volcanoes.",FALSE,"left",NA,"AI-pset-27-10",27
"375","People serve dinners on clouds.",FALSE,"left",NA,"AI-pset-27-11",27
"376","Beavers build dams in rivers.",FALSE,"left",NA,"AI-pset-27-12",27
"377","Humans need food for survival.",TRUE,"right",NA,"AI-pset-27-13",27
"378","Children can laugh a lot.",TRUE,"right",NA,"AI-pset-27-14",27
"379","A dog's fur can be very soft.",TRUE,"right",NA,"AI-pset-28-1",28
"380","Stars come out during the daytime.",FALSE,"left",NA,"AI-pset-28-2",28
"381","Chairs like to munch on cushions.",FALSE,"left",NA,"AI-pset-28-3",28
"382","Flowers often grow in a meadow.",TRUE,"right",NA,"AI-pset-28-4",28
"383","Pigs adore skydiving.",FALSE,"left",NA,"AI-pset-28-5",28
"384","A truck can be used to transport goods.",TRUE,"right",NA,"AI-pset-28-6",28
"385","The sand on most beaches is made of cotton candy.",FALSE,"left",NA,"AI-pset-28-7",28
"386","Bracelets can be made of water.",FALSE,"left",NA,"AI-pset-28-8",28
"387","There is only one kind of tree.",FALSE,"left",NA,"AI-pset-28-9",28
"388","People generally paint their houses with paint.",TRUE,"right",NA,"AI-pset-28-10",28
"389","A dolphin has fins.",TRUE,"right",NA,"AI-pset-28-11",28
"390","Humans often prepare meals with vegetables.",TRUE,"right",NA,"AI-pset-28-12",28
"391","Dogs smell with their noses.",TRUE,"right",NA,"AI-pset-28-13",28
"392","Elephants play basketball regularly.",FALSE,"left",NA,"AI-pset-28-14",28
"393","People use pencils to write, draw, and doodle.",TRUE,"right",NA,"AI-pset-29-1",29
"394","Bakeries are where you buy bread.",TRUE,"right",NA,"AI-pset-29-2",29
"395","Pencils have leaves.",FALSE,"left",NA,"AI-pset-29-3",29
"396","A chair eats dinner.",FALSE,"left",NA,"AI-pset-29-4",29
"397","Horses have manes.",TRUE,"right",NA,"AI-pset-29-5",29
"398","People fit bicycles on the river.",FALSE,"left",NA,"AI-pset-29-6",29
"399","Many people like to plant flowers.",TRUE,"right",NA,"AI-pset-29-7",29
"400","Rabbits have long ears.",TRUE,"right",NA,"AI-pset-29-8",29
"401","Sports can be played with a ball.",TRUE,"right",NA,"AI-pset-29-9",29
"402","Fish can breathe underwater.",TRUE,"right",NA,"AI-pset-29-10",29
"403","The sky is always purple and covered in stars during the day.",FALSE,"left",NA,"AI-pset-29-11",29
"404","Ice can always be very hot.",FALSE,"left",NA,"AI-pset-29-12",29
"405","Cups must have feathers.",FALSE,"left",NA,"AI-pset-29-13",29
"406","Most fish wear hats when they go swimming.",FALSE,"left",NA,"AI-pset-29-14",29
"407","My bed enjoys making soup.",FALSE,"left",NA,"AI-pset-30-1",30
"408","Whales are very large animals that live in the ocean.",TRUE,"right",NA,"AI-pset-30-2",30
"409","A number of people walk to work.",TRUE,"right",NA,"AI-pset-30-3",30
"410","Lions pilot planes.",FALSE,"left",NA,"AI-pset-30-4",30
"411","Paintbrushes help you to fly.",FALSE,"left",NA,"AI-pset-30-5",30
"412","Some drinks can be very cold.",TRUE,"right",NA,"AI-pset-30-6",30
"413","All books are blue.",FALSE,"left",NA,"AI-pset-30-7",30
"414","Some pizzas are round.",TRUE,"right",NA,"AI-pset-30-8",30
"415","Quilts are padded blankets that can provide warmth in cold weather.",TRUE,"right",NA,"AI-pset-30-9",30
"416","Every straw is an elephant.",FALSE,"left",NA,"AI-pset-30-10",30
"417","A lion is a mammal.",TRUE,"right",NA,"AI-pset-30-11",30
"418","Lemons have a sweet taste and can only be purple.",FALSE,"left",NA,"AI-pset-30-12",30
"419","Windy days are always still.",FALSE,"left",NA,"AI-pset-30-13",30
"420","Birds can be noisy.",TRUE,"right",NA,"AI-pset-30-14",30
"421","Stormy nights are always sunny.",FALSE,"left",NA,"AI-pset-31-1",31
"422","Airplanes are flown by pilots.",TRUE,"right",NA,"AI-pset-31-2",31
"423","Fishing is an activity that requires patience and skill.",TRUE,"right",NA,"AI-pset-31-3",31
"424","Fish can be found in a river.",TRUE,"right",NA,"AI-pset-31-4",31
"425","Caves can be found in clouds.",FALSE,"left",NA,"AI-pset-31-5",31
"426","Everyone has a unique fingerprint.",TRUE,"right",NA,"AI-pset-31-6",31
"427","An oven cooks food.",TRUE,"right",NA,"AI-pset-31-7",31
"428","Many dentists work in supermarkets.",FALSE,"left",NA,"AI-pset-31-8",31
"429","The snow is cold.",TRUE,"right",NA,"AI-pset-31-9",31
"430","Fish like to swim in water.",TRUE,"right",NA,"AI-pset-31-10",31
"431","Lemonade is always made of apples.",FALSE,"left",NA,"AI-pset-31-11",31
"432","Rivers are known to save books in caves.",FALSE,"left",NA,"AI-pset-31-12",31
"433","Lollipops grow on trees.",FALSE,"left",NA,"AI-pset-31-13",31
"434","Blueberry pie is always made of oranges.",FALSE,"left",NA,"AI-pset-31-14",31
"435","People occasionally eat ice cream.",TRUE,"right",NA,"AI-pset-32-1",32
"436","Every shoe is a fish.",FALSE,"left",NA,"AI-pset-32-2",32
"437","Music comes out of instruments.",TRUE,"right",NA,"AI-pset-32-3",32
"438","Planes are commonly made of fruits.",FALSE,"left",NA,"AI-pset-32-4",32
"439","Frogs are known for their painting skills.",FALSE,"left",NA,"AI-pset-32-5",32
"440","Dogs have four legs.",TRUE,"right",NA,"AI-pset-32-6",32
"441","Coffee comes from fish.",FALSE,"left",NA,"AI-pset-32-7",32
"442","Fish like to walk on land.",FALSE,"left",NA,"AI-pset-32-8",32
"443","A baker works at a bakery.",TRUE,"right",NA,"AI-pset-32-9",32
"444","Some trees love to run.",FALSE,"left",NA,"AI-pset-32-10",32
"445","Lamps love to jump.",FALSE,"left",NA,"AI-pset-32-11",32
"446","Nearly all bakeries have ovens.",TRUE,"right",NA,"AI-pset-32-12",32
"447","Many kids like to listen to stories before they sleep.",TRUE,"right",NA,"AI-pset-32-13",32
"448","Most houses have multiple rooms.",TRUE,"right",NA,"AI-pset-32-14",32
"449","Trains are delicious meals.",FALSE,"left",NA,"AI-pset-33-1",33
"450","A hat goes on your head.",TRUE,"right",NA,"AI-pset-33-2",33
"451","People can become invisible when they close their eyes.",FALSE,"left",NA,"AI-pset-33-3",33
"452","There are seven days in a week.",TRUE,"right",NA,"AI-pset-33-4",33
"453","All rivers are orange.",FALSE,"left",NA,"AI-pset-33-5",33
"454","Some students prefer writing with pens.",TRUE,"right",NA,"AI-pset-33-6",33
"455","Fire helps to keep things warm.",TRUE,"right",NA,"AI-pset-33-7",33
"456","Humans steer boats in the desert.",FALSE,"left",NA,"AI-pset-33-8",33
"457","Cars are always moving.",FALSE,"left",NA,"AI-pset-33-9",33
"458","Cars run on lemonade.",FALSE,"left",NA,"AI-pset-33-10",33
"459","Apples grow on ocean floors.",FALSE,"left",NA,"AI-pset-33-11",33
"460","A kitten has a tail.",TRUE,"right",NA,"AI-pset-33-12",33
"461","You can buy shirts at a clothing store.",TRUE,"right",NA,"AI-pset-33-13",33
"462","Friends can read books together after school.",TRUE,"right",NA,"AI-pset-33-14",33
"463","Rain helps plants to grow and is part of the water cycle.",TRUE,"right",NA,"AI-pset-34-1",34
"464","Folks ride horses on the train tracks.",FALSE,"left",NA,"AI-pset-34-2",34
"465","Gorillas are a type of flower.",FALSE,"left",NA,"AI-pset-34-3",34
"466","Turtles can swim in water.",TRUE,"right",NA,"AI-pset-34-4",34
"467","Honey is sweet and sticky and comes from bees.",TRUE,"right",NA,"AI-pset-34-5",34
"468","Some clouds have buckles.",FALSE,"left",NA,"AI-pset-34-6",34
"469","People generally wash their hair with shampoo.",TRUE,"right",NA,"AI-pset-34-7",34
"470","The sun typically rises in the morning.",TRUE,"right",NA,"AI-pset-34-8",34
"471","A pigeon is a bird.",TRUE,"right",NA,"AI-pset-34-9",34
"472","Light bulbs are made of candy.",FALSE,"left",NA,"AI-pset-34-10",34
"473","Laundry is washed in machines.",TRUE,"right",NA,"AI-pset-34-11",34
"474","Snowy days are always hot.",FALSE,"left",NA,"AI-pset-34-12",34
"475","Carrots are a kind of fruit.",FALSE,"left",NA,"AI-pset-34-13",34
"476","An apple has six legs.",FALSE,"left",NA,"AI-pset-34-14",34
"477","Apples fall from trees.",TRUE,"right",NA,"AI-pset-35-1",35
"478","Money usually grows in candy bars.",FALSE,"left",NA,"AI-pset-35-2",35
"479","Doctors treat patients while on duty.",TRUE,"right",NA,"AI-pset-35-3",35
"480","Trees have boxes.",FALSE,"left",NA,"AI-pset-35-4",35
"481","Oceans are full with bamboos.",FALSE,"left",NA,"AI-pset-35-5",35
"482","A farmer is someone who works in the field.",TRUE,"right",NA,"AI-pset-35-6",35
"483","Pianos are usually made of paper.",FALSE,"left",NA,"AI-pset-35-7",35
"484","A teddy bear can be very soft.",TRUE,"right",NA,"AI-pset-35-8",35
"485","Blankets actually help keep you warm.",FALSE,"left",NA,"AI-pset-35-9",35
"486","Jewelry is often worn for decoration.",TRUE,"right",NA,"AI-pset-35-10",35
"487","Kangaroos carry their young in pouches.",TRUE,"right",NA,"AI-pset-35-11",35
"488","Chairs are used to make things wet.",FALSE,"left",NA,"AI-pset-35-12",35
"489","Some puppies ride a train to school.",FALSE,"left",NA,"AI-pset-35-13",35
"490","Candies are usually made from sugar.",TRUE,"right",NA,"AI-pset-35-14",35
"491","Sharks often play basketball.",FALSE,"left",NA,"AI-pset-36-1",36
"492","Bicycles have pedals.",TRUE,"right",NA,"AI-pset-36-2",36
"493","Grass is always pink.",FALSE,"left",NA,"AI-pset-36-3",36
"494","People use rocks to buy things.",FALSE,"left",NA,"AI-pset-36-4",36
"495","Trees grow from small seeds.",TRUE,"right",NA,"AI-pset-36-5",36
"496","Children grow into adults over time.",TRUE,"right",NA,"AI-pset-36-6",36
"497","Stars ride on the river.",FALSE,"left",NA,"AI-pset-36-7",36
"498","A kitten can drive a car.",FALSE,"left",NA,"AI-pset-36-8",36
"499","A shirt is something you can wear.",TRUE,"right",NA,"AI-pset-36-9",36
"500","Drawers can be used to keep clothes.",TRUE,"right",NA,"AI-pset-36-10",36
"501","Desks sometimes drink orange juice.",FALSE,"left",NA,"AI-pset-36-11",36
"502","People sometimes eat fruits.",TRUE,"right",NA,"AI-pset-36-12",36
"503","Shoes are made from clouds.",FALSE,"left",NA,"AI-pset-36-13",36
"504","Firefighters often work in fire stations where they respond to emergencies.",TRUE,"right",NA,"AI-pset-36-14",36
"505","Chairs can heat up a room.",FALSE,"left",NA,"AI-pset-37-1",37
"506","Couches help you dance better.",FALSE,"left",NA,"AI-pset-37-2",37
"507","Friends dig to the center of the Earth after school.",FALSE,"left",NA,"AI-pset-37-3",37
"508","Chairs are made of water.",FALSE,"left",NA,"AI-pset-37-4",37
"509","Honey comes from bees.",TRUE,"right",NA,"AI-pset-37-5",37
"510","Whales are a type of bird.",FALSE,"left",NA,"AI-pset-37-6",37
"511","Monkeys are very good at climbing trees.",TRUE,"right",NA,"AI-pset-37-7",37
"512","Raincoats are used for protection against rain.",TRUE,"right",NA,"AI-pset-37-8",37
"513","Bubbles have roots.",FALSE,"left",NA,"AI-pset-37-9",37
"514","All butterflies have wings.",TRUE,"right",NA,"AI-pset-37-10",37
"515","Baseball is a sport you play with a bat.",TRUE,"right",NA,"AI-pset-37-11",37
"516","Gifts are wrapped in paper.",TRUE,"right",NA,"AI-pset-37-12",37
"517","Many astronauts work in orchards.",FALSE,"left",NA,"AI-pset-37-13",37
"518","Kangaroos can leap long distances with their strong hind legs.",TRUE,"right",NA,"AI-pset-37-14",37
"519","Yellow is the color of violets and cherries.",FALSE,"left",NA,"AI-pset-38-1",38
"520","Many children eat candy.",TRUE,"right",NA,"AI-pset-38-2",38
"521","Many people like to read books.",TRUE,"right",NA,"AI-pset-38-3",38
"522","Apples have ears.",FALSE,"left",NA,"AI-pset-38-4",38
"523","An author is someone who writes books.",TRUE,"right",NA,"AI-pset-38-5",38
"524","Students can study in the classroom.",TRUE,"right",NA,"AI-pset-38-6",38
"525","The letter A is a color.",FALSE,"left",NA,"AI-pset-38-7",38
"526","Astronauts teach music while on duty.",FALSE,"left",NA,"AI-pset-38-8",38
"527","Every door is locked forever.",FALSE,"left",NA,"AI-pset-38-9",38
"528","Some fish like to climb trees.",FALSE,"left",NA,"AI-pset-38-10",38
"529","Clouds in the sky can bring rain, snow, or shade.",TRUE,"right",NA,"AI-pset-38-11",38
"530","Spiders teach at universities.",FALSE,"left",NA,"AI-pset-38-12",38
"531","Some coats have hoods.",TRUE,"right",NA,"AI-pset-38-13",38
"532","Heaters can increase the temperature of a room.",TRUE,"right",NA,"AI-pset-38-14",38
"533","People can purchase shoes at the shopping mall.",TRUE,"right",NA,"AI-pset-39-1",39
"534","Pumpkin pie is made from peaches.",FALSE,"left",NA,"AI-pset-39-2",39
"535","Balls are made of music.",FALSE,"left",NA,"AI-pset-39-3",39
"536","Giraffes have eight legs.",FALSE,"left",NA,"AI-pset-39-4",39
"537","Chefs prepare meals in kitchens.",TRUE,"right",NA,"AI-pset-39-5",39
"538","Water is greasy.",FALSE,"left",NA,"AI-pset-39-6",39
"539","Many kids love pizza.",TRUE,"right",NA,"AI-pset-39-7",39
"540","Ladders help you to reach higher shelves.",TRUE,"right",NA,"AI-pset-39-8",39
"541","Grapes grow on vines.",TRUE,"right",NA,"AI-pset-39-9",39
"542","Salads are healthy food.",TRUE,"right",NA,"AI-pset-39-10",39
"543","A bicycle needs brakes to stop.",TRUE,"right",NA,"AI-pset-39-11",39
"544","Pillows can cool down a room.",FALSE,"left",NA,"AI-pset-39-12",39
"545","Apples are always sour.",FALSE,"left",NA,"AI-pset-39-13",39
"546","A lamp reads books.",FALSE,"left",NA,"AI-pset-39-14",39
"547","Ice cream typically melts in heat.",TRUE,"right",NA,"AI-pset-40-1",40
"548","Curtains sometimes drink tea.",FALSE,"left",NA,"AI-pset-40-2",40
"549","All tulips are orange.",FALSE,"left",NA,"AI-pset-40-3",40
"550","Tables like to sing.",FALSE,"left",NA,"AI-pset-40-4",40
"551","Not all flowers are yellow, some are red, blue or pink.",FALSE,"left",NA,"AI-pset-40-5",40
"552","Squares have four sides.",TRUE,"right",NA,"AI-pset-40-6",40
"553","We can buy books at a bookstore.",TRUE,"right",NA,"AI-pset-40-7",40
"554","A boat sails on the water.",TRUE,"right",NA,"AI-pset-40-8",40
"555","Teachers mainly work in zoos.",FALSE,"left",NA,"AI-pset-40-9",40
"556","A horse has hooves.",TRUE,"right",NA,"AI-pset-40-10",40
"557","Libraries are where you borrow books.",TRUE,"right",NA,"AI-pset-40-11",40
"558","Kids usually clean their faces with jam.",FALSE,"left",NA,"AI-pset-40-12",40
"559","Turtles can speak English.",FALSE,"left",NA,"AI-pset-40-13",40
"560","Kids often learn through playing and exploring.",TRUE,"right",NA,"AI-pset-40-14",40
"561","Horses can read.",FALSE,"left",NA,"AI-pset-41-1",41
"562","Every tree is a ballerina.",FALSE,"left",NA,"AI-pset-41-2",41
"563","Nests are built by birds to lay their eggs.",TRUE,"right",NA,"AI-pset-41-3",41
"564","Birds have feathers.",TRUE,"right",NA,"AI-pset-41-4",41
"565","Snow usually falls in summer.",FALSE,"left",NA,"AI-pset-41-5",41
"566","Schools are places where children learn.",TRUE,"right",NA,"AI-pset-41-6",41
"567","Mirrors are typically made of potatoes.",FALSE,"left",NA,"AI-pset-41-7",41
"568","Basketball is a game that you play with a ball.",TRUE,"right",NA,"AI-pset-41-8",41
"569","Plants need sunlight to grow.",TRUE,"right",NA,"AI-pset-41-9",41
"570","Lamps can cool down a room.",FALSE,"left",NA,"AI-pset-41-10",41
"571","Lockers can be used to keep personal belongings.",TRUE,"right",NA,"AI-pset-41-11",41
"572","When a traffic light is blue, you should begin to dance.",FALSE,"left",NA,"AI-pset-41-12",41
"573","A good book can be a great escape.",TRUE,"right",NA,"AI-pset-41-13",41
"574","Every zoo has penguins on the roof.",FALSE,"left",NA,"AI-pset-41-14",41
"575","Roads devour ice-cream cones.",FALSE,"left",NA,"AI-pset-42-1",42
"576","People enjoy eating fruits.",TRUE,"right",NA,"AI-pset-42-2",42
"577","Pencils are crispy snacks.",FALSE,"left",NA,"AI-pset-42-3",42
"578","Eggs are laid by chickens.",TRUE,"right",NA,"AI-pset-42-4",42
"579","A plane has wings.",TRUE,"right",NA,"AI-pset-42-5",42
"580","Pens can sing.",FALSE,"left",NA,"AI-pset-42-6",42
"581","Elephants have six legs.",FALSE,"left",NA,"AI-pset-42-7",42
"582","Cacti grow in deserts.",TRUE,"right",NA,"AI-pset-42-8",42
"583","Eggs are boiled in wardrobes.",FALSE,"left",NA,"AI-pset-42-9",42
"584","Lemons are often sour to taste.",TRUE,"right",NA,"AI-pset-42-10",42
"585","Kittens are young cats and can be very playful.",TRUE,"right",NA,"AI-pset-42-11",42
"586","Dogs have seven tails.",FALSE,"left",NA,"AI-pset-42-12",42
"587","People can buy computers at the bakery.",FALSE,"left",NA,"AI-pset-42-13",42
"588","Park rangers work outdoors in national parks.",TRUE,"right",NA,"AI-pset-42-14",42
"589","Foggy mornings are always clear.",FALSE,"left",NA,"AI-pset-43-1",43
"590","Feathers are made of steel.",FALSE,"left",NA,"AI-pset-43-2",43
"591","Bears frequently play football.",FALSE,"left",NA,"AI-pset-43-3",43
"592","Comedy movies often make people laugh.",TRUE,"right",NA,"AI-pset-43-4",43
"593","People often cook food on the stove.",TRUE,"right",NA,"AI-pset-43-5",43
"594","Plants often grow in a garden.",TRUE,"right",NA,"AI-pset-43-6",43
"595","Cows give us milk.",TRUE,"right",NA,"AI-pset-43-7",43
"596","Trains move along tracks.",TRUE,"right",NA,"AI-pset-43-8",43
"597","Fish have fur on their bodies.",FALSE,"left",NA,"AI-pset-43-9",43
"598","Many dogs drive trucks on the highway.",FALSE,"left",NA,"AI-pset-43-10",43
"599","Leaves can be different colors.",TRUE,"right",NA,"AI-pset-43-11",43
"600","A motorcycle can be used to transport whales.",FALSE,"left",NA,"AI-pset-43-12",43
"601","All fish live in the sky.",FALSE,"left",NA,"AI-pset-43-13",43
"602","Cabinets can be used to store dishes.",TRUE,"right",NA,"AI-pset-43-14",43
"603","When a traffic light is pink, you should start flying.",FALSE,"left",NA,"AI-pset-44-1",44
"604","Ice turns into fire when it melts.",FALSE,"left",NA,"AI-pset-44-2",44
"605","Bread is baked in ovens.",TRUE,"right",NA,"AI-pset-44-3",44
"606","Tigers like to live in space.",FALSE,"left",NA,"AI-pset-44-4",44
"607","Birds chirp in the morning.",TRUE,"right",NA,"AI-pset-44-5",44
"608","Tour guides often offer tourists maps and information.",TRUE,"right",NA,"AI-pset-44-6",44
"609","Elephants listen with their tails.",FALSE,"left",NA,"AI-pset-44-7",44
"610","Doors like to grill cheese.",FALSE,"left",NA,"AI-pset-44-8",44
"611","Shoes should be worn on your feet.",TRUE,"right",NA,"AI-pset-44-9",44
"612","Doors can open and close.",TRUE,"right",NA,"AI-pset-44-10",44
"613","Umbrellas are used to keep dry in the rain.",TRUE,"right",NA,"AI-pset-44-11",44
"614","Kittens often wear shoes.",FALSE,"left",NA,"AI-pset-44-12",44
"615","Birds can be different colors.",TRUE,"right",NA,"AI-pset-44-13",44
"616","All roses are purple.",FALSE,"left",NA,"AI-pset-44-14",44
"617","Some children like to ride bikes.",TRUE,"right",NA,"AI-pset-45-1",45
"618","Some bees collect pollen.",TRUE,"right",NA,"AI-pset-45-2",45
"619","The letter Z is an animal.",FALSE,"left",NA,"AI-pset-45-3",45
"620","Winter often brings with it cold temperatures and sometimes snow.",TRUE,"right",NA,"AI-pset-45-4",45
"621","Tables devour dinner plates for breakfast.",FALSE,"left",NA,"AI-pset-45-5",45
"622","Clouds are birds.",FALSE,"left",NA,"AI-pset-45-6",45
"623","A pharmacist works at a pharmacy.",TRUE,"right",NA,"AI-pset-45-7",45
"624","Kids like to play games.",TRUE,"right",NA,"AI-pset-45-8",45
"625","Kites fly best in the wind.",TRUE,"right",NA,"AI-pset-45-9",45
"626","Honey is made by cows.",FALSE,"left",NA,"AI-pset-45-10",45
"627","Animals are all the size of an elephant.",FALSE,"left",NA,"AI-pset-45-11",45
"628","Eating a balanced diet is healthy.",TRUE,"right",NA,"AI-pset-45-12",45
"629","All elephants climb trees.",FALSE,"left",NA,"AI-pset-45-13",45
"630","Windows are made of ice cream.",FALSE,"left",NA,"AI-pset-45-14",45
"631","People serve dinner on tree branches.",FALSE,"left",NA,"AI-pset-46-1",46
"632","A snowflake can be very delicate.",TRUE,"right",NA,"AI-pset-46-2",46
"633","Uncles can bring gifts when they visit relatives.",TRUE,"right",NA,"AI-pset-46-3",46
"634","Jelly is a type of furniture that is made from fruit juice.",FALSE,"left",NA,"AI-pset-46-4",46
"635","A bunny has scales.",FALSE,"left",NA,"AI-pset-46-5",46
"636","Books can fly around a room.",FALSE,"left",NA,"AI-pset-46-6",46
"637","Zoos are places where we can see many different animals.",TRUE,"right",NA,"AI-pset-46-7",46
"638","Some toddlers enjoy playing with toy cars.",TRUE,"right",NA,"AI-pset-46-8",46
"639","Adults can feel happy.",TRUE,"right",NA,"AI-pset-46-9",46
"640","Snakes can slither on the ground.",TRUE,"right",NA,"AI-pset-46-10",46
"641","Some shirts have buttons.",TRUE,"right",NA,"AI-pset-46-11",46
"642","Rainbows are black and white.",FALSE,"left",NA,"AI-pset-46-12",46
"643","Milk is always green.",FALSE,"left",NA,"AI-pset-46-13",46
"644","Most people play football by themselves.",FALSE,"left",NA,"AI-pset-46-14",46
"645","Boats are sailed by sailors.",TRUE,"right",NA,"AI-pset-47-1",47
"646","Roads keep their books in a puddle.",FALSE,"left",NA,"AI-pset-47-2",47
"647","Many people prefer to play board games while skydiving.",FALSE,"left",NA,"AI-pset-47-3",47
"648","Dolphins can be found in the desert.",FALSE,"left",NA,"AI-pset-47-4",47
"649","Some cows enjoy watching television.",FALSE,"left",NA,"AI-pset-47-5",47
"650","Pillows are made from ice.",FALSE,"left",NA,"AI-pset-47-6",47
"651","Ice cream is a food.",TRUE,"right",NA,"AI-pset-47-7",47
"652","Water is essential for every living thing on Earth.",TRUE,"right",NA,"AI-pset-47-8",47
"653","Buildings love to eat hot-dogs.",FALSE,"left",NA,"AI-pset-47-9",47
"654","Many people watch movies with at least one other person.",TRUE,"right",NA,"AI-pset-47-10",47
"655","Artists create works of art in studios.",TRUE,"right",NA,"AI-pset-47-11",47
"656","Cows like to bark.",FALSE,"left",NA,"AI-pset-47-12",47
"657","Bakers bake things in ovens.",TRUE,"right",NA,"AI-pset-47-13",47
"658","A watermelon is round.",TRUE,"right",NA,"AI-pset-47-14",47
"659","Cats are larger than cars.",FALSE,"left",NA,"AI-pset-48-1",48
"660","Bicycles love to eat pasta.",FALSE,"left",NA,"AI-pset-48-2",48
"661","Fire helps to freeze things.",FALSE,"left",NA,"AI-pset-48-3",48
"662","People ride bikes on the trail.",TRUE,"right",NA,"AI-pset-48-4",48
"663","People sometimes eat chocolate.",TRUE,"right",NA,"AI-pset-48-5",48
"664","Swimming is a sport that you play with a bicycle.",FALSE,"left",NA,"AI-pset-48-6",48
"665","A funny movie can make you feel better when you're upset.",TRUE,"right",NA,"AI-pset-48-7",48
"666","Peaches grow on vines.",FALSE,"left",NA,"AI-pset-48-8",48
"667","Vegetables are nutritious food.",TRUE,"right",NA,"AI-pset-48-9",48
"668","Cars are made of cheese.",FALSE,"left",NA,"AI-pset-48-10",48
"669","People usually breathe with their lungs.",TRUE,"right",NA,"AI-pset-48-11",48
"670","Most apartments have a kitchen.",TRUE,"right",NA,"AI-pset-48-12",48
"671","Pine trees grow in forests.",TRUE,"right",NA,"AI-pset-48-13",48
"672","Cats enjoy painting with yellow paint.",FALSE,"left",NA,"AI-pset-48-14",48
"673","Ovens can be used to bake food.",TRUE,"right",NA,"AI-pset-49-1",49
"674","Reading books is one way to learn new things at any age.",TRUE,"right",NA,"AI-pset-49-2",49
"675","Glasses help people taste colors.",FALSE,"left",NA,"AI-pset-49-3",49
"676","Oranges grow on trees.",TRUE,"right",NA,"AI-pset-49-4",49
"677","Ink is used to erase.",FALSE,"left",NA,"AI-pset-49-5",49
"678","Pencil cases wear gloves to keep their contents warm.",FALSE,"left",NA,"AI-pset-49-6",49
"679","Bread is often made from wheat.",TRUE,"right",NA,"AI-pset-49-7",49
"680","Ovens are where you store extra shoes.",FALSE,"left",NA,"AI-pset-49-8",49
"681","Deserts are full of roses.",FALSE,"left",NA,"AI-pset-49-9",49
"682","April is the first month of the year.",FALSE,"left",NA,"AI-pset-49-10",49
"683","Teenagers can be stubborn.",TRUE,"right",NA,"AI-pset-49-11",49
"684","Sugar tastes sour.",FALSE,"left",NA,"AI-pset-49-12",49
"685","Cakes are usually made with flour and eggs.",TRUE,"right",NA,"AI-pset-49-13",49
"686","People enjoy watching movies.",TRUE,"right",NA,"AI-pset-49-14",49
"687","Sunflowers are tiny flowers that turn their roots to follow the moon.",FALSE,"left",NA,"AI-pset-50-1",50
"688","Penguins enjoy making sculptures out of ice.",FALSE,"left",NA,"AI-pset-50-2",50
"689","Vitamins can help you feel healthier.",TRUE,"right",NA,"AI-pset-50-3",50
"690","A kitten can read a book.",FALSE,"left",NA,"AI-pset-50-4",50
"691","Bowling balls are sold at the forest.",FALSE,"left",NA,"AI-pset-50-5",50
"692","Shells can be found on the beach.",TRUE,"right",NA,"AI-pset-50-6",50
"693","Airplanes are crafted from leaves.",FALSE,"left",NA,"AI-pset-50-7",50
"694","People often color with crayons.",TRUE,"right",NA,"AI-pset-50-8",50
"695","People can ride on clouds.",FALSE,"left",NA,"AI-pset-50-9",50
"696","Birds have beaks.",TRUE,"right",NA,"AI-pset-50-10",50
"697","In fall, many leaves change colors and fall from the trees.",TRUE,"right",NA,"AI-pset-50-11",50
"698","Windows can let in fresh air into a room.",TRUE,"right",NA,"AI-pset-50-12",50
"699","Boxes can be used to store items.",TRUE,"right",NA,"AI-pset-50-13",50
"700","Doors are always made from feathers.",FALSE,"left",NA,"AI-pset-50-14",50
