target,distractor1,distractor2,distractor3,audioFile,audioUrl,composite.a,composite.b,composite.c,composite.d,letterNamePractice.a,letterNamePractice.b,letterNamePractice.c,letterNamePractice.d,letterNameLower.a,letterNameLower.b,letterNameLower.c,letterNameLower.d,letterNameUpper.a,letterNameUpper.b,letterNameUpper.c,letterNameUpper.d,letterPhonemePractice.a,letterPhonemePractice.b,letterPhonemePractice.c,letterPhonemePractice.d,letterPhoneme.a,letterPhoneme.b,letterPhoneme.c,letterPhoneme.d,corpusId
s,a,n,x,sPhoneme,https://storage.googleapis.com/roar-ak/es/shared/sPhoneme.mp3,1,0,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0.25,1,letterPhoneme
t,e,j,d,tPhoneme,https://storage.googleapis.com/roar-ak/es/shared/tPhoneme.mp3,1,0,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0.25,1,letterPhoneme
u,o,j,q,uPhoneme,https://storage.googleapis.com/roar-ak/es/shared/uPhoneme.mp3,1,0,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0.25,1,letterPhoneme
ú,i,pu,su,u_tildePhoneme,https://storage.googleapis.com/roar-ak/es/shared/u_tildePhoneme.mp3,1,0,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0.25,1,letterPhoneme
ua,eo,fu,sa,uaPhoneme,https://storage.googleapis.com/roar-ak/es/shared/uaPhoneme.mp3,1,0,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0.25,1,letterPhoneme
v,i,f,x,vPhoneme,https://storage.googleapis.com/roar-ak/es/shared/vPhoneme.mp3,1,0,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0.25,1,letterPhoneme
w,e,z,q,wPhoneme,https://storage.googleapis.com/roar-ak/es/shared/wPhoneme.mp3,1,0,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0.25,1,letterPhoneme
x,a,m,f,xPhoneme,https://storage.googleapis.com/roar-ak/es/shared/xPhoneme.mp3,1,0,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0.25,1,letterPhoneme
y,i,c,p,yConsonantPhoneme,https://storage.googleapis.com/roar-ak/es/shared/yConsonantPhoneme.mp3,1,0,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0.25,1,letterPhoneme
y,u,n,r,yVowelPhoneme,https://storage.googleapis.com/roar-ak/es/shared/yVowelPhoneme.mp3,1,0,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0.25,1,letterPhoneme
z,u,j,k,zPhoneme,https://storage.googleapis.com/roar-ak/es/shared/zPhoneme.mp3,1,0,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0.25,1,letterPhoneme
ll,e,l,s,llPhoneme,https://storage.googleapis.com/roar-ak/es/shared/llPhoneme.mp3,1,0,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0.25,1,letterPhoneme
